### Starting production?!

# bio1 PE   N=53  Avg= $94.39 min=11.49 max=342.57
# bio1 SEPE N=4   Avg= $82.82 min=30.45 max=135.08
# bio1      N=57  Avg= $93.58 min=11.49 max=343.57
# bio2 PE   N=47  Avg=$184.81 min=44.16 max=364.20
# bio2 SEPE N=15  Avg=$140.52 min=68.49 max=219.63
# bio2      N=62  Avg=$174.10 min=44.16 max=364.20
# all       N=119 Avg=$135.53 min=11.49 max=364.20

# TODO: 1st test: DNase ENCODE3: Assemble for GRCh38, but then run first on hg19
#Experiment     On    Reps        Assembled   Launched    Posted     Duration     Cost 
ENCSR456SOX  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  8d16h13m  $294.42
ENCSR458LIB  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  4d06h34m  $145.03
ENCSR475SYH  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  6d20h41m  $232.87
ENCSR475VQD  E3 hg19  1,2_1.2     2016-09-14  2016-09-22  2016-10-06  2d21h15m   $97.93
ENCSR485CIR  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    13h17m   $18.79
ENCSR493IAY  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  3d07h57m  $113.05
ENCSR499IFY  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  8d06h43m  $280.98
ENCSR501FWC  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d19h55m  $231.78  # Success, Restarted 2016-09-16: oom error/rev step
ENCSR503BEM  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  6d20h10m  $232.13
ENCSR512CWR  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  3d00h58m  $103.17
ENCSR514EOB  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    16h19m   $23.08
ENCSR515EWI  E3 hg19  1_1.2,2_1.2 2016-09-14  2016-09-22  2016-10-06  2d00h26m   $68.49
ENCSR522WLH  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  4d06h03m  $144.30
ENCSR527IGO  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05    18h50m   $26.63
ENCSR532CRI  E3 hg19  1,2         2016-08-30  2016-09-12  2016-10-06  7d18h26m  $263.61  # Success, Restarted 2016-09-16: oom error/rev step
ENCSR548MMD  E3 hg19  1,2_1.2     2016-08-30  2016-09-22  2016-10-06  3d22h12m  $133.21
ENCSR559WMK  E3 hg19  1           2016-08-30  2016-09-12  2016-10-05  3d06h60m  $111.70
